Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,N/A,FH 2,FH 3,e SpaceX missions and payloads,Demonstrations,logistics,Crewed,Commercial satellites,Scientific satellites,Military satellites,Rideshares,Transporter,Bandwagon,Flight tests,e SpaceX,Current,In development,Retired,Cancelled,Spacecraft,Cargo,Test vehicles,Landing sites,Other facilities,Support,Contracts,R&D programs,Key people,Related,e Spaceflight lists and timelines,General,People,Vehicles,Launches by rocket type,Launches by spaceport,"Agencies, companies and facilities",Other mission lists and timelines,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0003.18,Failure,4 June 2010,18:45
1,CCAFS,Dragon,0,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0004.18,Failure,8 December 2010,15:43
1,CCAFS,Dragon,525 kg,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0005.18,"No attempt
",22 May 2012,07:44
2,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0006.18,No attempt,8 October 2012,00:35
3,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0007.18,"No attempt
",1 March 2013,15:10
4,VAFB,CASSIOPE,500 kg,Polar orbit,"<a href=""/wiki/Maxar_Technologies"" title=""Maxar Technologies"">MDA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.17B10038,Uncontrolled,29 September 2013,16:00
5,CCAFS,SES-8,"3,170 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No attempt,3 December 2013,22:41
6,CCAFS,Thaicom 6,"3,325 kg",GTO,"<a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No attempt,6 January 2014,22:06
7,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Controlled,18 April 2014,19:25
8,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,"<a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Controlled,14 July 2014,15:15
9,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,"<a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No attempt,5 August 2014,08:00
10,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,"<a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,"No attempt
",7 September 2014,05:00
